-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.800, 80.199, 0.028,  0.148
-183.800, 80.199, 0.025,  0.181
-183.800, 80.198, 0.025,  0.214
-183.800, 80.197, 0.027,  0.247
-183.800, 80.196, 0.034,  0.280
-183.800, 80.194, 0.100,  0.313
-183.799, 80.188, 0.173,  0.346
-183.799, 80.179, 0.283,  0.379
-183.797, 80.166, 0.402,  0.412
-183.796, 80.144, 0.689,  0.445
-183.793, 80.114, 0.913,  0.478
-183.791, 80.077, 1.100,  0.511
-183.787, 80.035, 1.263,  0.544
-183.784, 79.989, 1.405,  0.577
-183.780, 79.938, 1.528,  0.610
-183.776, 79.884, 1.629,  0.643
-183.772, 79.828, 1.695,  0.676
-183.768, 79.772, 1.711,  0.709
-183.763, 79.715, 1.712,  0.742
-183.759, 79.659, 1.699,  0.775
-183.755, 79.604, 1.679,  0.808
-183.750, 79.550, 1.656,  0.841
-183.746, 79.496, 1.634,  0.874
-183.741, 79.443, 1.617,  0.907
-183.737, 79.390, 1.606,  0.940
-183.732, 79.337, 1.602,  0.973
-183.728, 79.284, 1.605,  1.006
-183.723, 79.230, 1.615,  1.039
-183.719, 79.176, 1.629,  1.072
-183.714, 79.122, 1.646,  1.105
-183.709, 79.067, 1.664,  1.138
-183.704, 79.011, 1.681,  1.171
-183.699, 78.954, 1.695,  1.204
-183.694, 78.898, 1.707,  1.237
-183.689, 78.841, 1.715,  1.270
-183.684, 78.784, 1.720,  1.303
-183.678, 78.726, 1.723,  1.336
-183.673, 78.669, 1.724,  1.369
-183.668, 78.612, 1.724,  1.402
-183.662, 78.555, 1.724,  1.435
-183.657, 78.497, 1.725,  1.468
-183.652, 78.440, 1.727,  1.501
-183.646, 78.383, 1.730,  1.534
-183.641, 78.325, 1.735,  1.567
-183.635, 78.267, 1.741,  1.600
-183.630, 78.209, 1.748,  1.633
-183.624, 78.151, 1.755,  1.666
-183.618, 78.092, 1.763,  1.699
-183.613, 78.033, 1.770,  1.732
